Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.1.3.20	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.21	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.22	      		1	25x3 FLAT	5052-H32												MIRROR<As Machined>		0.0									
1.1.3.23	      		1	25x25x1.60 EA	5052-H32												MIRROR<As Machined>		0.0									
1.1.3.24	      		1	PINE - 140x35	Pine												MIRROR<As Machined>											
1.1.3.25	      		1	PINE - 75x35	Pine												MIRROR<As Machined>											
1.1.3.26	      		1		Pine												MIRROR<As Machined>											
1.1.4	    SKIN		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	SKIN	Default<As Machined>											
1.1.4.1	      		1	25x3 FLAT	5052-H32												Default<As Machined>		0.0									
1.1.4.2	      		1		Pine												Default<As Machined>											
1.1.4.3	      		1		Pine												Default<As Machined>											
1.1.4.4	      		1		5052-H32												Default<As Machined>											
1.1.4.5	      		1		Pine												Default<As Machined>											
1.1.4.6	      		1		Polyurethane Foam Flexible												Default<As Machined>											
1.1.4.7	      		1		Pine												Default<As Machined>											
1.1.4.8	      		1		Pine												Default<As Machined>											
1.1.4.9	      		1		5052-H32												Default<As Machined>											
1.1.4.10	      		4	25x3 FLAT	5052-H32												Default<As Machined>		0.0									
1.1.5	    TRANS BEAM		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	LONG 90X35<As Machined>											
1.1.5.1	      		1	PINE - 90x35	Pine												LONG 90X35<As Machined>											
1.1.6	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	LONG 42X19<As Machined>											
1.1.6.1	      		1	PINE - 42x19	Pine												LONG 42X19<As Machined>											
1.1.7	    TRANS BEAM		7												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	LONG<As Machined>											
1.1.7.1	      		1	PINE - 89x19	Pine												LONG<As Machined>											
1.1.8	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	vent beam<As Machined>											
1.1.8.1	      		1	PINE - 89x19	Pine												vent beam<As Machined>											
1.1.9	    SHEAR WALL		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	SHEAR WALL	GALLEY											
1.1.10	    SHEAR WALL		1												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	SHEAR WALL	INNER											
1.1.11	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	BOTTOM GALLEY<As Machined>											
1.1.11.1	      		1	PINE - 89x19	Pine												BOTTOM GALLEY<As Machined>											
1.1.12	    TRANS BEAM		2												\\192.168.5.11\cad\SOLIDWORKS PROJECTS\CARAVAN UPGRADE\	TRANS BEAM	MIDDLE GALLEY											
1.1.12.1	      		1	PINE - 89x19	Pine												MIDDLE GALLEY											
